DATE_TIME,HIGH,LOW,OPEN,CLOSE
5/24/2022 7:15,1.07325,1.07162,1.07238,1.07236
5/24/2022 7:30,1.07345,1.07196,1.0724,1.07337
5/24/2022 7:45,1.07362,1.07248,1.07338,1.07309
5/24/2022 8:00,1.07336,1.07167,1.07306,1.07183
5/24/2022 8:15,1.07184,1.07055,1.07181,1.07121
5/24/2022 8:30,1.07154,1.07012,1.07115,1.07051
5/24/2022 8:45,1.07178,1.07033,1.07051,1.07046
5/24/2022 9:00,1.07152,1.07042,1.07047,1.07144
5/24/2022 9:15,1.07193,1.07138,1.07148,1.07144
5/24/2022 9:30,1.0715,1.07054,1.07147,1.07085
5/24/2022 9:45,1.0713,1.07061,1.07084,1.07114
5/24/2022 10:00,1.07199,1.07108,1.07117,1.07183
5/24/2022 10:15,1.07194,1.07141,1.07178,1.07156
5/24/2022 10:30,1.07171,1.07075,1.07159,1.0711
5/24/2022 10:45,1.07133,1.07046,1.07108,1.07093
5/24/2022 11:00,1.07107,1.07033,1.07095,1.07037
5/24/2022 11:15,1.07106,1.07022,1.07039,1.07091
5/24/2022 11:30,1.07279,1.0709,1.07091,1.07175
5/24/2022 11:45,1.07264,1.07117,1.07171,1.07145
5/24/2022 12:00,1.07228,1.07147,1.07147,1.072
5/24/2022 12:15,1.07207,1.06962,1.072,1.06963
5/24/2022 12:30,1.07043,1.06957,1.06961,1.07006
5/24/2022 12:45,1.07183,1.07005,1.07008,1.07075
5/24/2022 13:00,1.07149,1.07043,1.07077,1.0712
5/24/2022 13:15,1.07148,1.07047,1.07121,1.07082
5/24/2022 13:30,1.07194,1.07061,1.07081,1.07129
5/24/2022 13:45,1.07388,1.07118,1.07123,1.07341
5/24/2022 14:00,1.07471,1.07238,1.07344,1.07274
5/24/2022 14:15,1.0744,1.07205,1.07271,1.07418
5/24/2022 14:30,1.07465,1.0729,1.07418,1.07339
5/24/2022 14:45,1.07365,1.07208,1.07334,1.07265
5/24/2022 15:00,1.073,1.07219,1.07268,1.07267
5/24/2022 15:15,1.07326,1.07237,1.07261,1.0732
5/24/2022 15:30,1.07365,1.07288,1.07319,1.07325
5/24/2022 15:45,1.07439,1.07301,1.07329,1.07432
5/24/2022 16:00,1.07486,1.07413,1.07432,1.07469
5/24/2022 16:15,1.0748,1.07379,1.07466,1.07387
5/24/2022 16:30,1.07399,1.07312,1.07385,1.07322
5/24/2022 16:45,1.07342,1.07284,1.07322,1.07308
5/24/2022 17:00,1.07338,1.07262,1.07306,1.07331
5/24/2022 17:15,1.07368,1.07298,1.07339,1.07338
5/24/2022 17:30,1.07371,1.07313,1.07334,1.07319
5/24/2022 17:45,1.0733,1.07265,1.07318,1.07317
5/24/2022 18:00,1.0733,1.0724,1.07323,1.07303
5/24/2022 18:15,1.07319,1.07239,1.07302,1.07284
5/24/2022 18:30,1.07293,1.07234,1.07282,1.07238
5/24/2022 18:45,1.07264,1.07222,1.07236,1.07248
5/24/2022 19:00,1.07352,1.07246,1.07249,1.07344
5/24/2022 19:15,1.07369,1.07302,1.07339,1.07302
5/24/2022 19:30,1.07372,1.07306,1.07306,1.07332
5/24/2022 19:45,1.07388,1.07298,1.07336,1.07305
5/24/2022 20:00,1.07345,1.07306,1.07307,1.07335
5/24/2022 20:15,1.07359,1.07329,1.07332,1.07353
5/24/2022 20:30,1.07382,1.07343,1.07354,1.07344
5/24/2022 20:45,1.07362,1.07338,1.07342,1.0736
5/24/2022 21:00,1.0735,1.07267,1.07339,1.07267
5/24/2022 21:15,1.07341,1.07293,1.07293,1.07341
5/24/2022 21:30,1.07355,1.07294,1.07343,1.07339
5/24/2022 21:45,1.07339,1.07316,1.07336,1.0732
5/24/2022 22:00,1.07353,1.07306,1.07318,1.07353
5/24/2022 22:15,1.07351,1.07324,1.07347,1.07344
5/24/2022 22:30,1.07353,1.0732,1.07345,1.07337
5/24/2022 22:45,1.07392,1.07329,1.07347,1.07381
5/24/2022 23:00,1.07388,1.07337,1.07388,1.07344
5/24/2022 23:15,1.07359,1.07325,1.07345,1.07325
5/24/2022 23:30,1.07341,1.0732,1.07324,1.07323
5/24/2022 23:45,1.07348,1.07324,1.07327,1.07329
5/25/2022 0:00,1.0737,1.07278,1.07329,1.07283
5/25/2022 0:15,1.07292,1.07236,1.07279,1.07252
5/25/2022 0:30,1.07258,1.07205,1.07249,1.0724
5/25/2022 0:45,1.07256,1.07181,1.0724,1.07228
5/25/2022 1:00,1.07233,1.0716,1.07228,1.07163
5/25/2022 1:15,1.07191,1.07121,1.07161,1.07132
5/25/2022 1:30,1.07177,1.07127,1.07127,1.07162
5/25/2022 1:45,1.07181,1.0711,1.07165,1.07122
5/25/2022 2:00,1.07204,1.07121,1.07123,1.07148
5/25/2022 2:15,1.07148,1.07106,1.07148,1.07115
